activation_name,creation_rank,last_fw_use_rank,first_bw_use_rank,last_bw_use_rank,median_mem_size_bytes,inactive_time_s,recomp_time_s,recomp_memory_bytes
convolution,2336,2338,4926,4926,12845056,0.33166643067635615,0.012544,12845056
getitem_1,2340,-1,4926,4926,256,0.0,1e-06,256
getitem_2,2341,-1,4926,4926,256,0.0,1e-06,256
getitem_3,2342,-1,4926,4926,0,0.0,1e-06,0
relu_,2343,2344,4924,4925,12845056,0.3287511026039721,0.012544,12845056
getitem_4,2345,2370,4897,4920,3211264,0.32089190269075335,0.003136,3211264
getitem_5,2346,-1,4924,4924,6422528,0.0,0.006272,6422528
convolution_1,2347,2349,4916,4916,3211264,0.32730931061878815,0.003136,3211264
getitem_7,2351,-1,4916,4916,256,0.0,1e-06,256
getitem_8,2352,-1,4916,4916,256,0.0,1e-06,256
getitem_9,2353,-1,4916,4916,0,0.0,1e-06,0
relu__1,2354,2355,4912,4915,3211264,0.32560947063006473,0.003136,3211264
convolution_2,2355,2357,4908,4908,3211264,0.32496947063505666,0.003136,3211264
getitem_11,2359,-1,4908,4908,256,0.0,1e-06,256
getitem_12,2360,-1,4908,4908,256,0.0,1e-06,256
getitem_13,2361,-1,4908,4908,0,0.0,1e-06,0
relu__2,2362,2363,4904,4907,3211264,0.3237744626402857,0.003136,3211264
convolution_3,2363,2365,4900,4900,12845056,0.32235622265376157,0.012544,12845056
getitem_15,2367,-1,4900,4900,1024,0.0,1e-06,1024
getitem_16,2368,-1,4900,4900,1024,0.0,1e-06,1024
getitem_17,2369,-1,4900,4900,0,0.0,1e-06,0
convolution_4,2370,2372,4893,4893,12845056,0.3183984627779573,0.012544,12845056
getitem_19,2374,-1,4893,4893,1024,0.0,1e-06,1024
getitem_20,2375,-1,4893,4893,1024,0.0,1e-06,1024
getitem_21,2376,-1,4893,4893,0,0.0,1e-06,0
relu__3,2378,2402,4888,4892,12845056,0.31306035090051576,0.012544,12845056
convolution_5,2379,2381,4884,4884,3211264,0.3142277108952402,0.003136,3211264
getitem_23,2383,-1,4884,4884,256,0.0,1e-06,256
getitem_24,2384,-1,4884,4884,256,0.0,1e-06,256
getitem_25,2385,-1,4884,4884,0,0.0,1e-06,0
relu__4,2386,2387,4880,4883,3211264,0.3125186548996715,0.003136,3211264
convolution_6,2387,2389,4876,4876,3211264,0.3118510069102048,0.003136,3211264
getitem_27,2391,-1,4876,4876,256,0.0,1e-06,256
getitem_28,2392,-1,4876,4876,256,0.0,1e-06,256
getitem_29,2393,-1,4876,4876,0,0.0,1e-06,0
relu__5,2394,2395,4872,4875,3211264,0.3105812469162045,0.003136,3211264
convolution_7,2395,2397,4868,4868,12845056,0.30856294297054393,0.012544,12845056
getitem_31,2399,-1,4868,4868,1024,0.0,1e-06,1024
getitem_32,2400,-1,4868,4868,1024,0.0,1e-06,1024
getitem_33,2401,-1,4868,4868,0,0.0,1e-06,0
relu__6,2403,2427,4863,4867,12845056,0.30343270307220516,0.012544,12845056
convolution_8,2404,2406,4859,4859,3211264,0.30472703906707455,0.003136,3211264
getitem_35,2408,-1,4859,4859,256,0.0,1e-06,256
getitem_36,2409,-1,4859,4859,256,0.0,1e-06,256
getitem_37,2410,-1,4859,4859,0,0.0,1e-06,0
relu__7,2411,2412,4855,4858,3211264,0.3030630390979351,0.003136,3211264
convolution_9,2412,2414,4851,4851,3211264,0.302429183099419,0.003136,3211264
getitem_39,2416,-1,4851,4851,256,0.0,1e-06,256
getitem_40,2417,-1,4851,4851,256,0.0,1e-06,256
getitem_41,2418,-1,4851,4851,0,0.0,1e-06,0
relu__8,2419,2420,4847,4850,3211264,0.30115737507864854,0.003136,3211264
convolution_10,2420,2422,4843,4843,12845056,0.29911039905622616,0.012544,12845056
getitem_43,2424,-1,4843,4843,1024,0.0,1e-06,1024
getitem_44,2425,-1,4843,4843,1024,0.0,1e-06,1024
getitem_45,2426,-1,4843,4843,0,0.0,1e-06,0
relu__9,2428,2452,4815,4842,12845056,0.28666572700440873,0.012544,12845056
convolution_11,2429,2431,4834,4834,6422528,0.29521612702310074,0.006272,6422528
getitem_47,2433,-1,4834,4834,512,0.0,1e-06,512
getitem_48,2434,-1,4834,4834,512,0.0,1e-06,512
getitem_49,2435,-1,4834,4834,0,0.0,1e-06,0
relu__10,2436,2437,4830,4833,6422528,0.2925168630760162,0.006272,6422528
convolution_12,2437,2439,4826,4826,1605632,0.29204070308618235,0.001568,1605632
getitem_51,2441,-1,4826,4826,512,0.0,1e-06,512
getitem_52,2442,-1,4826,4826,512,0.0,1e-06,512
getitem_53,2443,-1,4826,4826,0,0.0,1e-06,0
relu__11,2444,2445,4822,4825,1605632,0.29099007909186175,0.001568,1605632
convolution_13,2445,2447,4818,4818,6422528,0.2900183030888437,0.006272,6422528
getitem_55,2449,-1,4818,4818,2048,0.0,2e-06,2048
getitem_56,2450,-1,4818,4818,2048,0.0,2e-06,2048
getitem_57,2451,-1,4818,4818,0,0.0,1e-06,0
convolution_14,2452,2454,4811,4811,6422528,0.28548300701752294,0.006272,6422528
getitem_59,2456,-1,4811,4811,2048,0.0,2e-06,2048
getitem_60,2457,-1,4811,4811,2048,0.0,2e-06,2048
getitem_61,2458,-1,4811,4811,0,0.0,1e-06,0
relu__12,2460,2484,4806,4810,6422528,0.2823106549847869,0.006272,6422528
convolution_15,2461,2463,4802,4802,1605632,0.28370329498872143,0.001568,1605632
getitem_63,2465,-1,4802,4802,512,0.0,1e-06,512
getitem_64,2466,-1,4802,4802,512,0.0,1e-06,512
getitem_65,2467,-1,4802,4802,0,0.0,1e-06,0
relu__13,2468,2469,4798,4801,1605632,0.28171878292970337,0.001568,1605632
convolution_16,2469,2471,4794,4794,1605632,0.2813081589341161,0.001568,1605632
getitem_67,2473,-1,4794,4794,512,0.0,1e-06,512
getitem_68,2474,-1,4794,4794,512,0.0,1e-06,512
getitem_69,2475,-1,4794,4794,0,0.0,1e-06,0
relu__14,2476,2477,4790,4793,1605632,0.2803957749344405,0.001568,1605632
convolution_17,2477,2479,4786,4786,6422528,0.27936972691304945,0.006272,6422528
